OBJECTID,HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOIDS,WarningMsg,HUCID,Edited,Shape_Length,Shape_Area,DRNAREA,OUTLETELEV,PRECIP,LFPLENGTH,ELEV,CSL10_85fm,BASINPERIM,I24H50Y,MINBELEV,BSLDEM30FT,ELEVMAX,OBJECTID_2,HydroID_2,DrainID_2,Name_2,Descript_2,HUCID_2,Latitude,Longitude,WarningMsg_2
27,,,B29,SS BP v1.6.0,1,,,,0,100020,241479000,8.66,2039.19,51.1119,6.79,2450.07,73.631,18.94,6.6948,2034.12,25.409,3714.65,27,,,B29,SS BP v1.6.0,6010105,638280,941010,
28,,,B35,SS BP v1.6.0,1,,,,0,69720,125847900,4.51,2029.98,41.6799,4.63,2301.84,107.254,13.2,5.1238,2026.65,20.083,3313.95,28,,,B35,SS BP v1.6.0,6010105,687510,932310,
29,,,B41,SS BP v1.6.0,1,,,,0,50100,63098100,2.26,2083.34,39.1912,3.39,2534.09,197.36,9.49,4.9751,2079.78,31.41,3529.07,29,,,B41,SS BP v1.6.0,6010105,687420,950760,
30,,,B50,SS BP v1.6.0,1,,,,0,25980,20771100,0.75,2168.98,45.6771,1.9,2386.72,174.371,4.92,6.2329,2168.5,20.559,2877.01,30,,,B50,SS BP v1.6.0,6010105,656490,950160,
31,,,B58,SS BP v1.6.0,1,,,,0,22800,14012100,0.5,2114.64,40.3828,1.14,2200.15,130.906,4.32,5.6021,2113.28,7.553,2281.92,31,,,B58,SS BP v1.6.0,6010105,673290,951030,
32,,,B52,SS BP v1.6.0,1,,,,0,9960,3274200,0.12,2094.91,41.1628,0.55,2161.76,311.688,1.89,5.138,2091.67,10.097,2234.6,32,,,B52,SS BP v1.6.0,6010105,684120,926730,
33,,,B60,SS BP v1.6.0,1,,,,0,9420,2511000,0.09,2080.31,39.2925,0.44,2139.15,221.065,1.78,5.0917,2080.31,8.657,2192.68,33,,,B60,SS BP v1.6.0,6010105,685530,937170,
34,,,B6B,SS BP v1.6.0,1,,,,0,221100,1016078400,36.4,1786.13,42.4679,17.4,2767.26,74.669,41.87,5.5848,1786,32.506,5383.88,34,,,B6B,SS BP v1.6.0,6010105,727320,927330,
35,,,B10,SS BP v1.6.0,1,,,,0,112440,294871500,10.6,2094.9,46.1666,7.86,2998.02,206.347,21.3,5.7586,2094.32,35.715,5219.83,35,,,B10,SS BP v1.6.0,6010105,694170,971970,
36,,,B14,SS BP v1.6.0,1,,,,0,33120,18820800,0.68,1810.58,37.3588,2.22,2059.3,124.291,6.27,4.9257,1810.58,22.565,2226.96,36,,,B14,SS BP v1.6.0,6010105,736410,925470,
37,,,B3B,SS BP v1.6.0,1,,,,0,126540,409784400,14.7,2252.1,46.525,4.94,3223.8,398.509,23.97,5.8966,2251.96,43.398,5158.01,37,,,B3B,SS BP v1.6.0,6010105,718080,866160,
38,,,B11B,SS BP v1.6.0,1,,,,0,183360,1070778600,38.4,2084.77,49.7934,14.25,2903.5,59.225,34.73,6.9082,2084.26,35.802,5706.37,38,,,B11B,SS BP v1.6.0,6010105,670320,901830,
39,,,B7A,SS BP v1.6.0,1,,,,0,48180,68652900,2.46,2006.07,38.2332,3.05,2304.66,201.652,9.13,4.9388,2006.07,20.482,3115.34,39,,,B7A,SS BP v1.6.0,6010105,697080,940440,
40,,,B4,SS BP v1.6.0,1,,,,0,218940,953668800,34.2,1906.66,42.5406,14.62,2347.28,42.942,41.47,5.2565,1905.72,26.08,4608.65,40,,,B4,SS BP v1.6.0,6010105,717120,920790,
41,,,B7B,SS BP v1.6.0,1,,,,0,38220,29411100,1.05,2003.49,37.8381,2.41,2170.62,131.594,7.24,4.9404,2002.93,12.104,2717.12,41,,,B7B,SS BP v1.6.0,6010105,696840,940200,
42,,,B15B,SS BP v1.6.0,1,,,,0,84180,188246700,6.75,2199.96,49.5036,5.77,2643.92,259.387,15.94,6.5429,2199.54,26.384,4385.17,42,,,B15B,SS BP v1.6.0,6010105,660480,987930,
43,,,B11A,SS BP v1.6.0,1,,,,0,221820,842866200,30.2,2088.63,44.9851,14.98,2874.84,58.5,42.01,5.6585,2087.58,33.876,4784.95,43,,,B11A,SS BP v1.6.0,6010105,670380,901740,
44,,,B15A,SS BP v1.6.0,1,,,,0,175080,703303200,25.2,2197.42,49.7117,8.97,2906.1,95.947,33.16,6.3755,2196.66,29.953,4410.59,44,,,B15A,SS BP v1.6.0,6010105,660450,987840,
45,,,B19,SS BP v1.6.0,1,,,,0,234000,1127913300,40.5,1481.79,58.6078,17.98,2744.92,72.106,44.32,6.7552,1481.79,37.534,4352.35,45,,,B19,SS BP v1.6.0,3050105,636120,1020270,
46,,,B25,SS BP v1.6.0,1,,,,0,152040,304922700,10.9,2027.6,42.8986,9.44,2683.9,107.892,28.8,5.4139,2026.9,34.194,4769.97,46,,,B25,SS BP v1.6.0,6010105,724440,898590,
47,,,B31,SS BP v1.6.0,1,,,,0,345120,2941754400,106,2035.55,49.7469,24.4,3133.54,44.755,65.36,6.3774,2035.33,35.844,6373.35,47,,,B31,SS BP v1.6.0,6010105,683610,967050,
48,,,B37,SS BP v1.6.0,1,,,,0,150240,444853800,16,1973.99,43.2014,10.15,2491.11,76.492,28.45,5.3808,1973.99,31.537,4608.65,48,,,B37,SS BP v1.6.0,6010105,712050,906990,
49,,,B43,SS BP v1.6.0,1,,,,0,67320,83451600,2.99,1993.95,38.8432,4.78,2445.08,129.655,12.75,4.9947,1991.83,28.424,3529.07,49,,,B43,SS BP v1.6.0,6010105,681870,949590,
50,,,B17B,SS BP v1.6.0,1,,,,0,75840,139767300,5.01,2002.32,39.4092,5.32,2396.35,100.366,14.36,5.0412,1993.83,23.217,3529.2,50,,,B17B,SS BP v1.6.0,6010105,683460,952140,
51,,,B24,SS BP v1.6.0,1,,,,0,168540,593058600,21.3,2234.42,50.2648,10.89,2917.04,152.201,31.92,6.8359,2233.2,33.37,5380.94,51,,,B24,SS BP v1.6.0,6010105,691350,999930,
52,,,B30,SS BP v1.6.0,1,,,,0,64740,81132300,2.91,2080.83,40.5564,4.53,2449.83,199.809,12.26,5.1155,2080.83,23.821,3801.39,52,,,B30,SS BP v1.6.0,6010105,687630,967110,
53,,,B36,SS BP v1.6.0,1,,,,0,36360,38955600,1.4,2402.83,44.2704,2.17,3194.51,885.748,6.89,5.5962,2402.83,44.54,4608.65,53,,,B36,SS BP v1.6.0,6010105,689100,883230,
54,,,B42,SS BP v1.6.0,1,,,,0,22200,16251300,0.58,2325.59,40.7165,1.14,2789.85,978.847,4.2,5.0165,2325.59,38.86,3529.07,54,,,B42,SS BP v1.6.0,6010105,697830,952530,
55,,,B51,SS BP v1.6.0,1,,,,0,22680,9684000,0.35,2100.46,38.4018,1.41,2237.47,186.511,4.3,4.948,2099.96,13.743,2698.74,55,,,B51,SS BP v1.6.0,6010105,704280,943320,
56,,,B59,SS BP v1.6.0,1,,,,0,46560,70442100,2.53,2098.57,42.4175,2.74,2404.56,269.955,8.82,5.1429,2098.49,25.736,3313.95,56,,,B59,SS BP v1.6.0,6010105,689790,925260,
57,,,B20,SS BP v1.6.0,1,,,,0,212580,1434441600,51.5,2115.47,46.8319,11.4,3464.58,164.093,40.26,6.3415,2114.57,43.343,6056.84,57,,,B20,SS BP v1.6.0,6010105,757260,967980,
58,,,B26,SS BP v1.6.0,1,,,,0,98760,191499300,6.87,2134.41,43.8221,6.76,2925.9,215.714,18.7,5.4782,2134.24,41.164,4521.04,58,,,B26,SS BP v1.6.0,6010105,722550,887070,
59,,,B32,SS BP v1.6.0,1,,,,0,16980,8456400,0.3,1722.8,39.3158,1.19,2020.97,283.8,3.22,4.8831,1722.53,30.905,2204.3,59,,,B32,SS BP v1.6.0,6010105,741630,915000,
60,,,B38,SS BP v1.6.0,1,,,,0,298080,2310381900,82.9,2091.64,51.2146,19.59,3234.64,67.257,56.45,6.6012,2091.08,36.745,6373.35,60,,,B38,SS BP v1.6.0,6010105,694050,972180,
61,,,B47,SS BP v1.6.0,1,,,,0,46080,65916900,2.36,2020.11,38.253,2.81,2314.09,242.892,8.73,4.9394,2020.11,20.773,3115.34,61,,,B47,SS BP v1.6.0,6010105,697650,941340,
62,,,B53,SS BP v1.6.0,1,,,,0,26400,17217000,0.62,1977.79,39.7425,1.56,2108.41,124.41,5,5.1416,1975.8,12.063,2209.05,62,,,B53,SS BP v1.6.0,6010105,680280,937440,
63,,,B49,SS BP v1.6.0,1,,,,0,55680,74902500,2.69,2114.11,45.2631,2.98,2381.22,195.997,10.55,6.1593,2114.11,19.662,3490.7,63,,,B49,SS BP v1.6.0,6010105,657720,946200,
64,,,B55,SS BP v1.6.0,1,,,,0,61620,100326600,3.6,1970.68,38.1082,3.41,2259.47,163.57,11.67,4.939,1969.59,17.958,3115.34,64,,,B55,SS BP v1.6.0,6010105,697440,938910,
65,,,B63,SS BP v1.6.0,1,,,,0,19320,6618600,0.24,1973.83,38.3124,1.19,2118.57,239.011,3.66,5.0003,1973.25,12.609,2243.77,65,,,B63,SS BP v1.6.0,6010105,686790,939810,
